dataset,mae_fixed,mae_tuned,mae_rf
CHEMBL1862_Ki,0.7787019120120191,0.8855331989271035,0.5876448342425016
CHEMBL1871_Ki,0.6139610698010891,0.617782334025801,0.5302710505421987
CHEMBL2034_Ki,0.5877608912094348,0.8264689634462915,0.5031545830690286
CHEMBL2047_EC50,0.643475969613334,0.5745264178876547,0.4222160919475714
CHEMBL204_Ki,0.7959809471408834,0.7604063623404966,0.5473545074472068
CHEMBL2147_Ki,1.144180136377863,0.7873866185551367,0.468425168507205
CHEMBL214_Ki,0.7128311132569759,0.6704017949363289,0.5140438574629607
CHEMBL218_EC50,0.6921324388879939,0.6889928588288945,0.5304887558146633
CHEMBL219_Ki,0.7713108625805842,0.7443947082513372,0.5454588744850575
CHEMBL228_Ki,0.671562208725408,0.6952186120132949,0.5237627011368161
CHEMBL231_Ki,0.6979399820997301,0.6358745690372046,0.5638037638045971
CHEMBL233_Ki,0.7606851455093918,0.7528713243070575,0.6025024377495237
CHEMBL234_Ki,0.6597954609991613,0.7280330688757816,0.48770907908387373
CHEMBL235_EC50,0.6104244782577022,0.6972049626490938,0.4781436840030521
CHEMBL236_Ki,0.8098211605409482,0.7014616387614427,0.520537495540436
CHEMBL237_EC50,0.8330055179028587,0.9944842773511468,0.5846445328908663
CHEMBL237_Ki,0.7018122103360704,0.6275115489490489,0.548824449891188
CHEMBL238_Ki,0.6329753086115779,0.6929298523133846,0.48716367039660935
CHEMBL239_EC50,0.6816900772122235,0.6935871823126103,0.5143567525347792
CHEMBL244_Ki,0.7991374150690553,0.7764724972984793,0.5608247151190896
CHEMBL262_Ki,0.7513869126000662,0.7846385484797529,0.5712021038721384
CHEMBL264_Ki,0.6204256722659299,0.6846405188628885,0.4768305253673816
CHEMBL2835_Ki,0.3292640494224933,0.4685001827219407,0.26708598586165805
CHEMBL287_Ki,0.6576779279219851,0.7532489514095189,0.5591995004445013
CHEMBL2971_Ki,0.579546046996185,0.6590482972983552,0.4311731938444774
CHEMBL3979_EC50,0.6567665499879352,0.6044991470298902,0.4864501031948178
CHEMBL4005_Ki,0.6602732666769852,0.6232112906471419,0.4984902472468105
CHEMBL4203_Ki,0.7916059971141611,0.8484647199181645,0.6653551714089836
CHEMBL4616_EC50,0.6533633789552696,0.6391043305867105,0.509159843175491
CHEMBL4792_Ki,0.6832392364390725,0.7883817705195517,0.5429480391841642
