regime,rough_q,mean_gap,sem,source
fixed-60,1,0.25081115227167955,0.008019461000440323,data
fixed-60,2,0.20343705889359998,0.008872255054541497,data
fixed-60,3,0.1839103696259939,0.010009841077556777,data
fixed-60,4,0.1278361149939234,0.011934227691133748,data
tuned,1,0.23915264225540453,0.007384867922944833,data
tuned,2,0.19813947852297253,0.008364506194593961,data
tuned,3,0.17985398195109598,0.009674858628357251,data
tuned,4,0.15798979666249183,0.012164828284710464,data
