method,top_quartile_error_AUC,activity_cliff_AUC
roughness,0.5988609569235693,0.6907720323233758
ensemble variance,0.7167934864363437,0.5147206765786232
distance-AD,0.6201565942263616,0.3513072191730106
Sheridan (3-measure),0.6433841194250719,0.5088361857440804
RDN (regr. adapt.),0.6216338474593192,0.4617963695431073
