dataset,rogi,mean_rf,mean_gnn,cliff_frac,n
CHEMBL1862_Ki,0.04934865662994009,0.5876448342425016,0.7787019120120191,0.4161490683229814,161
CHEMBL1871_Ki,0.056026236155963305,0.5302710505421987,0.6139610698010891,0.23880597014925373,134
CHEMBL2034_Ki,0.07423326229745092,0.5031545830690287,0.5877608912094348,0.34210526315789475,152
CHEMBL2047_EC50,0.07762866575926586,0.4222160919475714,0.643475969613334,0.390625,128
CHEMBL204_Ki,0.05812480505066825,0.5473545074472068,0.7959809471408834,0.39783001808318263,553
CHEMBL2147_Ki,0.053005536336034886,0.468425168507205,1.144180136377863,0.3945578231292517,294
CHEMBL214_Ki,0.0633583459306657,0.5140438574629607,0.7128311132569759,0.36786786786786785,666
CHEMBL218_EC50,0.06402070081668226,0.5304887558146633,0.6921324388879939,0.36538461538461536,208
CHEMBL219_Ki,0.07258345031187896,0.5454588744850575,0.7713108625805842,0.39572192513368987,374
CHEMBL228_Ki,0.06217056600764659,0.5237627011368161,0.671562208725408,0.3713450292397661,342
CHEMBL231_Ki,0.05148651911793278,0.5638037638045971,0.6979399820997301,0.2436548223350254,197
CHEMBL233_Ki,0.06485902444016267,0.6025024377495237,0.7606851455093918,0.4111111111111111,630
CHEMBL234_Ki,0.06536482053219028,0.48770907908387373,0.6597954609991613,0.43656207366984995,733
CHEMBL235_EC50,0.07249688669982945,0.4781436840030521,0.6104244782577022,0.3771186440677966,472
CHEMBL236_Ki,0.06641352784389498,0.520537495540436,0.8098211605409482,0.3915547024952015,521
CHEMBL237_EC50,0.0892399021941111,0.5846445328908663,0.8330055179028587,0.47150259067357514,193
CHEMBL237_Ki,0.06777077510388368,0.548824449891188,0.7018122103360704,0.4272030651340996,522
CHEMBL238_Ki,0.06050988043082872,0.48716367039660935,0.6329753086115779,0.25821596244131456,213
CHEMBL239_EC50,0.0847791870035097,0.5143567525347792,0.6816900772122235,0.40634005763688763,347
CHEMBL244_Ki,0.06865756991434063,0.5608247151190896,0.7991374150690554,0.47665056360708535,621
CHEMBL262_Ki,0.06330861001302973,0.5712021038721384,0.7513869126000662,0.18497109826589594,173
CHEMBL264_Ki,0.06636191724062601,0.4768305253673816,0.6204256722659299,0.4163763066202091,574
CHEMBL2835_Ki,0.06277932926293911,0.26708598586165805,0.3292640494224933,0.10317460317460317,126
CHEMBL287_Ki,0.07134167493134269,0.5591995004445013,0.6576779279219851,0.3857677902621723,267
CHEMBL2971_Ki,0.043184064775907804,0.4311731938444774,0.579546046996185,0.17258883248730963,197
CHEMBL3979_EC50,0.07599712213515974,0.4864501031948178,0.6567665499879352,0.415929203539823,226
CHEMBL4005_Ki,0.07235758201840264,0.4984902472468105,0.6602732666769852,0.41968911917098445,193
CHEMBL4203_Ki,0.05247966028785189,0.6653551714089836,0.7916059971141611,0.087248322147651,149
CHEMBL4616_EC50,0.109922093016936,0.509159843175491,0.6533633789552696,0.5251798561151079,139
CHEMBL4792_Ki,0.09572160869814011,0.5429480391841642,0.6832392364390725,0.5387205387205387,297
