dataset,n_train,n_test,rf_mae,rho_dirichlet,p_dirichlet,rho_nbr_disp,p_nbr_disp,rho_sali_mean,partial_disp_AD,partial_dir_AD
ESOL (logS solubility),902,226,1.2803659293494114,0.5961805257754733,3.8520612978023533e-23,0.16815685582347573,0.01134172912876214,0.17666291542976864,0.1940142866054843,0.6012507873976048
Lipophilicity (logD),3360,840,0.7699991390306123,0.6671276259097386,2.8488093415366145e-109,0.19788676423499757,7.292159478299828e-09,0.03601508939465598,0.07277722721017323,0.6371976429363637
