descriptor,label,family,median_auc,q25,q75,ypos
sali_mean,SALI-density (mean),a-priori,0.6904755961502433,0.6632023458058454,0.7163427375405493,5
sali_max,SALI-density (max),a-priori,0.6678584484247897,0.6325957597797431,0.6994152500320415,4
nbr_disp,nbr dispersion,a-priori,0.5772946831756638,0.5211466464169523,0.6122875705838036,3
holder,Hölder exp.,a-priori,0.5496901766714913,0.5100135911106016,0.5930679145557464,2
rf_var,RF variance,uncertainty,0.5207004181500057,0.47786040440881566,0.5592580160078768,1
nn_sim,NN similarity,applicability domain,0.3513072191730106,0.3238321615167195,0.394266503417896,0
